列 qd64 最大值所在的行: ['285437', '2', '三体', '三体']
列 qd65 最大值所在的行: ['285437', '2', '三体', '三体']
列 qd66 最大值所在的行: ['285437', '2', '三体', '三体']
列 qd67 最大值所在的行: ['285437', '2', '三体', '三体']
列 qd68 最大值所在的行: ['285437', '2', '三体', '三体']
列 qd69 最大值所在的行: ['285437', '2', '三体', '三体']
列 qd70 最大值所在的行: ['285437', '2', '三体', '三体']
列 表面标准差 最大值所在的行: ['16872', '2', 'チャージマン研!', 'ChargeMan研']
列 VIB朴素排名 最大值所在的行: ['137504', '2', '汽车人总动员', '汽车人总动员']
列 VIB加权排名 最大值所在的行: ['212186', '2', 'けものフレンズ2', '兽娘动物园2']
